Date,Open,High,Low,Close
28-Jul-20,11154.1,11317.75,11151.4,11300.55
29-Jul-20,11276.9,11341.4,11149.75,11202.85
30-Jul-20,11254.3,11299.95,11084.95,11102.15
31-Jul-20,11139.5,11150.4,11026.65,11073.45
03-Aug-20,11057.55,11058.05,10882.25,10891.6
04-Aug-20,10946.65,11112.25,10908.1,11095.25
05-Aug-20,11155.75,11225.65,11064.05,11101.65
06-Aug-20,11185.7,11256.8,11127.3,11200.15
07-Aug-20,11186.65,11231.9,11142.05,11214.05
10-Aug-20,11270.25,11337.3,11238,11270.15
11-Aug-20,11322.25,11373.6,11299.15,11322.5
12-Aug-20,11289,11322,11242.65,11308.4
13-Aug-20,11334.85,11359.3,11269.95,11300.45
14-Aug-20,11353.3,11366.25,11111.45,11178.4
17-Aug-20,11248.9,11267.1,11144.5,11247.1
18-Aug-20,11259.8,11401.7,11253.15,11385.35
19-Aug-20,11452.15,11460.35,11394.1,11408.4
20-Aug-20,11317.45,11361.45,11289.8,11312.2
21-Aug-20,11409.65,11418.5,11362.2,11371.6
24-Aug-20,11412,11497.25,11410.65,11466.45
25-Aug-20,11513.1,11525.9,11423.35,11472.25
26-Aug-20,11512.85,11561.75,11461.85,11549.6
27-Aug-20,11609.3,11617.35,11540.6,11559.25
28-Aug-20,11602.95,11686.05,11589.4,11647.6
31-Aug-20,11777.55,11794.25,11325.85,11387.5
01-Sep-20,11464.3,11553.55,11366.9,11470.25
02-Sep-20,11478.55,11554.75,11430.4,11535
03-Sep-20,11566.2,11584.95,11507.65,11527.45
04-Sep-20,11354.4,11452.05,11303.65,11333.85
07-Sep-20,11359.6,11381.15,11251.7,11355.05
08-Sep-20,11378.55,11437.25,11290.45,11317.35
09-Sep-20,11218.6,11298.15,11185.15,11278
10-Sep-20,11363.3,11464.05,11327.4,11449.25
11-Sep-20,11447.8,11493.5,11419.9,11464.45
14-Sep-20,11540.15,11568.9,11383.55,11440.05
15-Sep-20,11487.2,11535.95,11442.25,11521.8
16-Sep-20,11538.45,11618.1,11516.75,11604.55
17-Sep-20,11539.4,11587.2,11498.5,11516.1
18-Sep-20,11584.1,11584.1,11446.1,11504.95
21-Sep-20,11503.8,11535.25,11218.5,11250.55
22-Sep-20,11301.75,11302.2,11084.65,11153.65
23-Sep-20,11258.75,11259.55,11024.4,11131.85
24-Sep-20,11011,11015.3,10790.2,10805.55
25-Sep-20,10910.4,11072.6,10854.85,11050.25
28-Sep-20,11140.85,11239.35,11099.85,11227.55
29-Sep-20,11288.6,11305.4,11181,11222.4
30-Sep-20,11244.45,11295.4,11184.55,11247.55
01-Oct-20,11364.45,11428.6,11347.05,11416.95
05-Oct-20,11487.8,11578.05,11452.3,11503.35
06-Oct-20,11603.45,11680.3,11564.3,11662.4
07-Oct-20,11679.25,11763.05,11629.35,11738.85
08-Oct-20,11835.4,11905.7,11791.15,11834.6
09-Oct-20,11852.05,11938.6,11805.2,11914.2
12-Oct-20,11973.55,12022.05,11867.2,11930.95
13-Oct-20,11934.65,11988.2,11888.9,11934.5
14-Oct-20,11917.4,11997.2,11822.15,11971.05
15-Oct-20,12023.45,12025.45,11661.3,11680.35
16-Oct-20,11727.4,11789.75,11667.85,11762.45
19-Oct-20,11879.2,11898.25,11820.4,11873.05
20-Oct-20,11861,11949.25,11837.25,11896.8
21-Oct-20,11958.55,12018.65,11775.75,11937.65
22-Oct-20,11890,11939.55,11823.45,11896.45
23-Oct-20,11957.9,11974.55,11908.75,11930.35
26-Oct-20,11937.4,11942.85,11711.7,11767.75
27-Oct-20,11807.1,11899.05,11723,11889.4
28-Oct-20,11922.6,11929.4,11684.85,11729.6
29-Oct-20,11633.3,11744.15,11606.45,11670.8
30-Oct-20,11678.45,11748.95,11535.45,11642.4
02-Nov-20,11697.35,11725.65,11557.4,11669.15
03-Nov-20,11734.45,11836.2,11723.3,11813.5
04-Nov-20,11783.35,11929.65,11756.4,11908.5
05-Nov-20,12062.4,12131.1,12027.6,12120.3
06-Nov-20,12156.65,12280.4,12131.85,12263.55
09-Nov-20,12399.4,12474.05,12367.35,12461.05
10-Nov-20,12556.4,12643.9,12475.25,12631.1
11-Nov-20,12680.6,12769.75,12571.1,12749.15
12-Nov-20,12702.15,12741.15,12624.85,12690.8
13-Nov-20,12659.7,12735.95,12607.7,12719.95
14-Nov-20,12823.35,12828.7,12749.45,12780.25
17-Nov-20,12932.5,12934.05,12797.1,12874.2
18-Nov-20,12860.1,12948.85,12819.35,12938.25
19-Nov-20,12839.5,12963,12745.75,12771.7
20-Nov-20,12813.4,12892.45,12730.25,12859.05
23-Nov-20,12960.3,12968.85,12825.7,12926.45
24-Nov-20,13002.6,13079.1,12978,13055.15
25-Nov-20,13130,13145.85,12833.65,12858.4
26-Nov-20,12906.45,13018,12790.4,12987
27-Nov-20,13012.05,13035.3,12914.3,12968.95
01-Dec-20,13062.2,13128.4,12962.8,13109.05
02-Dec-20,13121.4,13128.5,12983.55,13113.75
03-Dec-20,13215.3,13216.6,13107.9,13133.9
04-Dec-20,13177.4,13280.05,13152.85,13258.55
07-Dec-20,13264.85,13366.65,13241.95,13355.75
08-Dec-20,13393.85,13435.45,13311.05,13392.95
09-Dec-20,13458.1,13548.9,13449.6,13529.1
10-Dec-20,13488.5,13503.55,13399.3,13478.3
11-Dec-20,13512.3,13579.35,13402.85,13513.85
14-Dec-20,13571.45,13597.5,13472.45,13558.15
15-Dec-20,13547.2,13589.65,13447.05,13567.85
16-Dec-20,13663.1,13692.35,13606.45,13682.7
17-Dec-20,13713.55,13773.25,13673.55,13740.7
18-Dec-20,13764.4,13772.85,13658.6,13760.55
21-Dec-20,13741.9,13777.5,13131.45,13328.4
22-Dec-20,13373.65,13492.05,13192.9,13466.3
23-Dec-20,13473.5,13619.45,13432.2,13601.1
24-Dec-20,13672.15,13771.75,13626.9,13749.25
28-Dec-20,13815.15,13885.3,13811.55,13873.2
29-Dec-20,13910.35,13967.6,13859.9,13932.6
30-Dec-20,13980.9,13997,13864.95,13981.95
31-Dec-20,13970,14024.85,13936.45,13981.75
